,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
1190,"


1006",Iron Valiant,Fairy Fighting,590,74,130,90,120,60,116
1191,"


1007",Koraidon,Fighting Dragon,670,100,135,115,85,100,135
1192,"


1008",Miraidon,Electric Dragon,670,100,85,100,135,115,135
1193,"


1009",Walking Wake,Water Dragon,590,99,83,91,125,83,109
1194,"


1010",Iron Leaves,Grass Psychic,590,90,130,88,70,108,104
1195,"


1011",Dipplin,Grass Dragon,485,80,80,110,95,80,40
1196,"


1012",Poltchageist,Grass Ghost,308,40,45,45,74,54,50
1197,"


1013",Sinistcha,Grass Ghost,508,71,60,106,121,80,70
1198,"


1014",Okidogi,Poison Fighting,555,88,128,115,58,86,80
1199,"


1015",Munkidori,Poison Psychic,555,88,75,66,130,90,106
1200,"


1016",Fezandipiti,Poison Fairy,555,88,91,82,70,125,99
1201,"


1017",Ogerpon Teal Mask,Grass ,550,80,120,84,60,96,110
1202,"


1017",Ogerpon Wellspring Mask,Grass Water,550,80,120,84,60,96,110
1203,"


1017",Ogerpon Hearthflame Mask,Grass Fire,550,80,120,84,60,96,110
1204,"


1017",Ogerpon Cornerstone Mask,Grass Rock,550,80,120,84,60,96,110
1205,"


1018",Archaludon,Steel Dragon,600,90,105,130,125,65,85
1206,"


1019",Hydrapple,Grass Dragon,540,106,80,110,120,80,44
1207,"


1020",Gouging Fire,Fire Dragon,590,105,115,121,65,93,91
1208,"


1021",Raging Bolt,Electric Dragon,590,125,73,91,137,89,75
1209,"


1022",Iron Boulder,Rock Psychic,590,90,120,80,68,108,124
1210,"


1023",Iron Crown,Steel Psychic,590,90,72,100,122,108,98
1211,"


1024",Terapagos Normal Form,Normal ,450,90,65,85,65,85,60
1212,"


1024",Terapagos Terastal Form,Normal ,600,95,95,110,105,110,85
1213,"


1024",Terapagos Stellar Form,Normal ,700,160,105,110,130,110,85
1214,"


1025",Pecharunt,Poison Ghost,600,88,88,160,88,88,88
1215,"


0001",Bulbasaur,Grass Poison,318,45,49,49,65,65,45
1216,"


0002",Ivysaur,Grass Poison,405,60,62,63,80,80,60
1217,"


0003",Venusaur,Grass Poison,525,80,82,83,100,100,80
1218,"


0003",Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80
1219,"


0004",Charmander,Fire ,309,39,52,43,60,50,65
1220,"


0005",Charmeleon,Fire ,405,58,64,58,80,65,80
1221,"


0006",Charizard,Fire Flying,534,78,84,78,109,85,100
1222,"


0006",Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100
1223,"


0006",Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100
1224,"


0007",Squirtle,Water ,314,44,48,65,50,64,43
1225,"


0008",Wartortle,Water ,405,59,63,80,65,80,58
1226,"


0009",Blastoise,Water ,530,79,83,100,85,105,78
1227,"


0009",Blastoise Mega Blastoise,Water ,630,79,103,120,135,115,78
1228,"


0010",Caterpie,Bug ,195,45,30,35,20,20,45
1229,"


0011",Metapod,Bug ,205,50,20,55,25,25,30
1230,"


0012",Butterfree,Bug Flying,395,60,45,50,90,80,70
1231,"


0013",Weedle,Bug Poison,195,40,35,30,20,20,50
1232,"


0014",Kakuna,Bug Poison,205,45,25,50,25,25,35
1233,"


0015",Beedrill,Bug Poison,395,65,90,40,45,80,75
1234,"


0015",Beedrill Mega Beedrill,Bug Poison,495,65,150,40,15,80,145
1235,"


0016",Pidgey,Normal Flying,251,40,45,40,35,35,56
1236,"


0017",Pidgeotto,Normal Flying,349,63,60,55,50,50,71
1237,"


0018",Pidgeot,Normal Flying,479,83,80,75,70,70,101
1238,"


0018",Pidgeot Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121
1239,"


0019",Rattata,Normal ,253,30,56,35,25,35,72
1240,"


0019",Rattata Alolan Rattata,Dark Normal,253,30,56,35,25,35,72
1241,"


0020",Raticate,Normal ,413,55,81,60,50,70,97
1242,"


0020",Raticate Alolan Raticate,Dark Normal,413,75,71,70,40,80,77
1243,"


0021",Spearow,Normal Flying,262,40,60,30,31,31,70
1244,"


0022",Fearow,Normal Flying,442,65,90,65,61,61,100
1245,"


0023",Ekans,Poison ,288,35,60,44,40,54,55
1246,"


0024",Arbok,Poison ,448,60,95,69,65,79,80
1247,"


0025",Pikachu,Electric ,320,35,55,40,50,50,90
1248,"


0025",Pikachu Partner Pikachu,Electric ,430,45,80,50,75,60,120
1249,"


0026",Raichu,Electric ,485,60,90,55,90,80,110
1250,"


0026",Raichu Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110
1251,"


0027",Sandshrew,Ground ,300,50,75,85,20,30,40
1252,"


0027",Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40
1253,"


0028",Sandslash,Ground ,450,75,100,110,45,55,65
1254,"


0028",Sandslash Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65
1255,"


0029",Nidoran♀,Poison ,275,55,47,52,40,40,41
1256,"


0030",Nidorina,Poison ,365,70,62,67,55,55,56
1257,"


0031",Nidoqueen,Poison Ground,505,90,92,87,75,85,76
1258,"


0032",Nidoran♂,Poison ,273,46,57,40,40,40,50
1259,"


0033",Nidorino,Poison ,365,61,72,57,55,55,65
1260,"


0034",Nidoking,Poison Ground,505,81,102,77,85,75,85
1261,"


0035",Clefairy,Fairy ,323,70,45,48,60,65,35
1262,"


0036",Clefable,Fairy ,483,95,70,73,95,90,60
1263,"


0037",Vulpix,Fire ,299,38,41,40,50,65,65
1264,"


0037",Vulpix Alolan Vulpix,Ice ,299,38,41,40,50,65,65
1265,"


0038",Ninetales,Fire ,505,73,76,75,81,100,100
1266,"


0038",Ninetales Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109
1267,"


0039",Jigglypuff,Normal Fairy,270,115,45,20,45,25,20
1268,"


0040",Wigglytuff,Normal Fairy,435,140,70,45,85,50,45
1269,"


0041",Zubat,Poison Flying,245,40,45,35,30,40,55
1270,"


0042",Golbat,Poison Flying,455,75,80,70,65,75,90
1271,"


0043",Oddish,Grass Poison,320,45,50,55,75,65,30
1272,"


0044",Gloom,Grass Poison,395,60,65,70,85,75,40
1273,"


0045",Vileplume,Grass Poison,490,75,80,85,110,90,50
1274,"


0046",Paras,Bug Grass,285,35,70,55,45,55,25
1275,"


0047",Parasect,Bug Grass,405,60,95,80,60,80,30
1276,"


0048",Venonat,Bug Poison,305,60,55,50,40,55,45
1277,"


0049",Venomoth,Bug Poison,450,70,65,60,90,75,90
1278,"


0050",Diglett,Ground ,265,10,55,25,35,45,95
1279,"


0050",Diglett Alolan Diglett,Ground Steel,265,10,55,30,35,45,90
1280,"


0051",Dugtrio,Ground ,425,35,100,50,50,70,120
1281,"


0051",Dugtrio Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110
1282,"


0052",Meowth,Normal ,290,40,45,35,40,40,90
1283,"


0052",Meowth Alolan Meowth,Dark ,290,40,35,35,50,40,90
1284,"


0052",Meowth Galarian Meowth,Steel ,290,50,65,55,40,40,40
1285,"


0053",Persian,Normal ,440,65,70,60,65,65,115
1286,"


0053",Persian Alolan Persian,Dark ,440,65,60,60,75,65,115
1287,"


0054",Psyduck,Water ,320,50,52,48,65,50,55
1288,"


0055",Golduck,Water ,500,80,82,78,95,80,85
1289,"


0056",Mankey,Fighting ,305,40,80,35,35,45,70
1290,"


0057",Primeape,Fighting ,455,65,105,60,60,70,95
1291,"


0058",Growlithe,Fire ,350,55,70,45,70,50,60
1292,"


0058",Growlithe Hisuian Growlithe,Fire Rock,350,60,75,45,65,50,55
1293,"


0059",Arcanine,Fire ,555,90,110,80,100,80,95
1294,"


0059",Arcanine Hisuian Arcanine,Fire Rock,555,95,115,80,95,80,90
1295,"


0060",Poliwag,Water ,300,40,50,40,40,40,90
1296,"


0061",Poliwhirl,Water ,385,65,65,65,50,50,90
1297,"


0062",Poliwrath,Water Fighting,510,90,95,95,70,90,70
1298,"


0063",Abra,Psychic ,310,25,20,15,105,55,90
1299,"


0064",Kadabra,Psychic ,400,40,35,30,120,70,105
1300,"


0065",Alakazam,Psychic ,500,55,50,45,135,95,120
1301,"


0065",Alakazam Mega Alakazam,Psychic ,600,55,50,65,175,105,150
1302,"


0066",Machop,Fighting ,305,70,80,50,35,35,35
1303,"


0067",Machoke,Fighting ,405,80,100,70,50,60,45
1304,"


0068",Machamp,Fighting ,505,90,130,80,65,85,55
1305,"


0069",Bellsprout,Grass Poison,300,50,75,35,70,30,40
1306,"


0070",Weepinbell,Grass Poison,390,65,90,50,85,45,55
1307,"


0071",Victreebel,Grass Poison,490,80,105,65,100,70,70
1308,"


0072",Tentacool,Water Poison,335,40,40,35,50,100,70
1309,"


0073",Tentacruel,Water Poison,515,80,70,65,80,120,100
1310,"


0074",Geodude,Rock Ground,300,40,80,100,30,30,20
1311,"


0074",Geodude Alolan Geodude,Rock Electric,300,40,80,100,30,30,20
1312,"


0075",Graveler,Rock Ground,390,55,95,115,45,45,35
1313,"


0075",Graveler Alolan Graveler,Rock Electric,390,55,95,115,45,45,35
1314,"


0076",Golem,Rock Ground,495,80,120,130,55,65,45
1315,"


0076",Golem Alolan Golem,Rock Electric,495,80,120,130,55,65,45
1316,"


0077",Ponyta,Fire ,410,50,85,55,65,65,90
1317,"


0077",Ponyta Galarian Ponyta,Psychic ,410,50,85,55,65,65,90
1318,"


0078",Rapidash,Fire ,500,65,100,70,80,80,105
1319,"


0078",Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,70,80,80,105
1320,"


0079",Slowpoke,Water Psychic,315,90,65,65,40,40,15
1321,"


0079",Slowpoke Galarian Slowpoke,Psychic ,315,90,65,65,40,40,15
1322,"


0080",Slowbro,Water Psychic,490,95,75,110,100,80,30
1323,"


0080",Slowbro Mega Slowbro,Water Psychic,590,95,75,180,130,80,30
1324,"


0080",Slowbro Galarian Slowbro,Poison Psychic,490,95,100,95,100,70,30
1325,"


0081",Magnemite,Electric Steel,325,25,35,70,95,55,45
1326,"


0082",Magneton,Electric Steel,465,50,60,95,120,70,70
1327,"


0083",Farfetch'd,Normal Flying,377,52,90,55,58,62,60
1328,"


0083",Farfetch'd Galarian Farfetch'd,Fighting ,377,52,95,55,58,62,55
1329,"


0084",Doduo,Normal Flying,310,35,85,45,35,35,75
1330,"


0085",Dodrio,Normal Flying,470,60,110,70,60,60,110
1331,"


0086",Seel,Water ,325,65,45,55,45,70,45
1332,"


0087",Dewgong,Water Ice,475,90,70,80,70,95,70
1333,"


0088",Grimer,Poison ,325,80,80,50,40,50,25
1334,"


0088",Grimer Alolan Grimer,Poison Dark,325,80,80,50,40,50,25
1335,"


0089",Muk,Poison ,500,105,105,75,65,100,50
1336,"


0089",Muk Alolan Muk,Poison Dark,500,105,105,75,65,100,50
1337,"


0090",Shellder,Water ,305,30,65,100,45,25,40
1338,"


0091",Cloyster,Water Ice,525,50,95,180,85,45,70
1339,"


0092",Gastly,Ghost Poison,310,30,35,30,100,35,80
1340,"


0093",Haunter,Ghost Poison,405,45,50,45,115,55,95
1341,"


0094",Gengar,Ghost Poison,500,60,65,60,130,75,110
1342,"


0094",Gengar Mega Gengar,Ghost Poison,600,60,65,80,170,95,130
1343,"


0095",Onix,Rock Ground,385,35,45,160,30,45,70
1344,"


0096",Drowzee,Psychic ,328,60,48,45,43,90,42
1345,"


0097",Hypno,Psychic ,483,85,73,70,73,115,67
1346,"


0098",Krabby,Water ,325,30,105,90,25,25,50
1347,"


0099",Kingler,Water ,475,55,130,115,50,50,75
1348,"


0100",Voltorb,Electric ,330,40,30,50,55,55,100
1349,"


0100",Voltorb Hisuian Voltorb,Electric Grass,330,40,30,50,55,55,100
1350,"


0101",Electrode,Electric ,490,60,50,70,80,80,150
1351,"


0101",Electrode Hisuian Electrode,Electric Grass,490,60,50,70,80,80,150
1352,"


0102",Exeggcute,Grass Psychic,325,60,40,80,60,45,40
1353,"


0103",Exeggutor,Grass Psychic,530,95,95,85,125,75,55
1354,"


0103",Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,85,125,75,45
1355,"


0104",Cubone,Ground ,320,50,50,95,40,50,35
1356,"


0105",Marowak,Ground ,425,60,80,110,50,80,45
1357,"


0105",Marowak Alolan Marowak,Fire Ghost,425,60,80,110,50,80,45
1358,"


0106",Hitmonlee,Fighting ,455,50,120,53,35,110,87
1359,"


0107",Hitmonchan,Fighting ,455,50,105,79,35,110,76
1360,"


0108",Lickitung,Normal ,385,90,55,75,60,75,30
1361,"


0109",Koffing,Poison ,340,40,65,95,60,45,35
1362,"


0110",Weezing,Poison ,490,65,90,120,85,70,60
1363,"


0110",Weezing Galarian Weezing,Poison Fairy,490,65,90,120,85,70,60
1364,"


0111",Rhyhorn,Ground Rock,345,80,85,95,30,30,25
1365,"


0112",Rhydon,Ground Rock,485,105,130,120,45,45,40
1366,"


0113",Chansey,Normal ,450,250,5,5,35,105,50
1367,"


0114",Tangela,Grass ,435,65,55,115,100,40,60
1368,"


0115",Kangaskhan,Normal ,490,105,95,80,40,80,90
1369,"


0115",Kangaskhan Mega Kangaskhan,Normal ,590,105,125,100,60,100,100
1370,"


0116",Horsea,Water ,295,30,40,70,70,25,60
1371,"


0117",Seadra,Water ,440,55,65,95,95,45,85
1372,"


0118",Goldeen,Water ,320,45,67,60,35,50,63
1373,"


0119",Seaking,Water ,450,80,92,65,65,80,68
1374,"


0120",Staryu,Water ,340,30,45,55,70,55,85
1375,"


0121",Starmie,Water Psychic,520,60,75,85,100,85,115
1376,"


0122",Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90
1377,"


0122",Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,65,90,90,100
1378,"


0123",Scyther,Bug Flying,500,70,110,80,55,80,105
1379,"


0124",Jynx,Ice Psychic,455,65,50,35,115,95,95
1380,"


0125",Electabuzz,Electric ,490,65,83,57,95,85,105
1381,"


0126",Magmar,Fire ,495,65,95,57,100,85,93
1382,"


0127",Pinsir,Bug ,500,65,125,100,55,70,85
1383,"


0127",Pinsir Mega Pinsir,Bug Flying,600,65,155,120,65,90,105
1384,"


0128",Tauros,Normal ,490,75,100,95,40,70,110
1385,"


0128",Tauros Combat Breed,Fighting ,490,75,110,105,30,70,100
1386,"


0128",Tauros Blaze Breed,Fighting Fire,490,75,110,105,30,70,100
1387,"


0128",Tauros Aqua Breed,Fighting Water,490,75,110,105,30,70,100
1388,"


0129",Magikarp,Water ,200,20,10,55,15,20,80
1389,"


0130",Gyarados,Water Flying,540,95,125,79,60,100,81
1390,"


0130",Gyarados Mega Gyarados,Water Dark,640,95,155,109,70,130,81
1391,"


0131",Lapras,Water Ice,535,130,85,80,85,95,60
1392,"


0132",Ditto,Normal ,288,48,48,48,48,48,48
1393,"


0133",Eevee,Normal ,325,55,55,50,45,65,55
1394,"


0133",Eevee Partner Eevee,Normal ,435,65,75,70,65,85,75
1395,"


0134",Vaporeon,Water ,525,130,65,60,110,95,65
1396,"


0135",Jolteon,Electric ,525,65,65,60,110,95,130
1397,"


0136",Flareon,Fire ,525,65,130,60,95,110,65
1398,"


0137",Porygon,Normal ,395,65,60,70,85,75,40
1399,"


0138",Omanyte,Rock Water,355,35,40,100,90,55,35
1400,"


0139",Omastar,Rock Water,495,70,60,125,115,70,55
1401,"


0140",Kabuto,Rock Water,355,30,80,90,55,45,55
1402,"


0141",Kabutops,Rock Water,495,60,115,105,65,70,80
1403,"


0142",Aerodactyl,Rock Flying,515,80,105,65,60,75,130
1404,"


0142",Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,85,70,95,150
1405,"


0143",Snorlax,Normal ,540,160,110,65,65,110,30
1406,"


0144",Articuno,Ice Flying,580,90,85,100,95,125,85
1407,"


0144",Articuno Galarian Articuno,Psychic Flying,580,90,85,85,125,100,95
1408,"


0145",Zapdos,Electric Flying,580,90,90,85,125,90,100
1409,"


0145",Zapdos Galarian Zapdos,Fighting Flying,580,90,125,90,85,90,100
1410,"


0146",Moltres,Fire Flying,580,90,100,90,125,85,90
1411,"


0146",Moltres Galarian Moltres,Dark Flying,580,90,85,90,100,125,90
1412,"


0147",Dratini,Dragon ,300,41,64,45,50,50,50
1413,"


0148",Dragonair,Dragon ,420,61,84,65,70,70,70
1414,"


0149",Dragonite,Dragon Flying,600,91,134,95,100,100,80
1415,"


0150",Mewtwo,Psychic ,680,106,110,90,154,90,130
1416,"


0150",Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,100,154,100,130
1417,"


0150",Mewtwo Mega Mewtwo Y,Psychic ,780,106,150,70,194,120,140
1418,"


0151",Mew,Psychic ,600,100,100,100,100,100,100
1419,"


0152",Chikorita,Grass ,318,45,49,65,49,65,45
1420,"


0153",Bayleef,Grass ,405,60,62,80,63,80,60
1421,"


0154",Meganium,Grass ,525,80,82,100,83,100,80
1422,"


0155",Cyndaquil,Fire ,309,39,52,43,60,50,65
1423,"


0156",Quilava,Fire ,405,58,64,58,80,65,80
1424,"


0157",Typhlosion,Fire ,534,78,84,78,109,85,100
1425,"


0157",Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,78,119,85,95
1426,"


0158",Totodile,Water ,314,50,65,64,44,48,43
1427,"


0159",Croconaw,Water ,405,65,80,80,59,63,58
1428,"


0160",Feraligatr,Water ,530,85,105,100,79,83,78
1429,"


0161",Sentret,Normal ,215,35,46,34,35,45,20
1430,"


0162",Furret,Normal ,415,85,76,64,45,55,90
1431,"


0163",Hoothoot,Normal Flying,262,60,30,30,36,56,50
1432,"


0164",Noctowl,Normal Flying,452,100,50,50,86,96,70
1433,"


0165",Ledyba,Bug Flying,265,40,20,30,40,80,55
1434,"


0166",Ledian,Bug Flying,390,55,35,50,55,110,85
1435,"


0167",Spinarak,Bug Poison,250,40,60,40,40,40,30
1436,"


0168",Ariados,Bug Poison,400,70,90,70,60,70,40
1437,"


0169",Crobat,Poison Flying,535,85,90,80,70,80,130
1438,"


0170",Chinchou,Water Electric,330,75,38,38,56,56,67
1439,"


0171",Lanturn,Water Electric,460,125,58,58,76,76,67
1440,"


0172",Pichu,Electric ,205,20,40,15,35,35,60
1441,"


0173",Cleffa,Fairy ,218,50,25,28,45,55,15
1442,"


0174",Igglybuff,Normal Fairy,210,90,30,15,40,20,15
1443,"


0175",Togepi,Fairy ,245,35,20,65,40,65,20
1444,"


0176",Togetic,Fairy Flying,405,55,40,85,80,105,40
1445,"


0177",Natu,Psychic Flying,320,40,50,45,70,45,70
1446,"


0178",Xatu,Psychic Flying,470,65,75,70,95,70,95
1447,"


0179",Mareep,Electric ,280,55,40,40,65,45,35
1448,"


0180",Flaaffy,Electric ,365,70,55,55,80,60,45
1449,"


0181",Ampharos,Electric ,510,90,75,85,115,90,55
1450,"


0181",Ampharos Mega Ampharos,Electric Dragon,610,90,95,105,165,110,45
1451,"


0182",Bellossom,Grass ,490,75,80,95,90,100,50
1452,"


0183",Marill,Water Fairy,250,70,20,50,20,50,40
1453,"


0184",Azumarill,Water Fairy,420,100,50,80,60,80,50
1454,"


0185",Sudowoodo,Rock ,410,70,100,115,30,65,30
1455,"


0186",Politoed,Water ,500,90,75,75,90,100,70
1456,"


0187",Hoppip,Grass Flying,250,35,35,40,35,55,50
1457,"


0188",Skiploom,Grass Flying,340,55,45,50,45,65,80
1458,"


0189",Jumpluff,Grass Flying,460,75,55,70,55,95,110
1459,"


0190",Aipom,Normal ,360,55,70,55,40,55,85
1460,"


0191",Sunkern,Grass ,180,30,30,30,30,30,30
1461,"


0192",Sunflora,Grass ,425,75,75,55,105,85,30
1462,"


0193",Yanma,Bug Flying,390,65,65,45,75,45,95
1463,"


0194",Wooper,Water Ground,210,55,45,45,25,25,15
1464,"


0194",Wooper Paldean Wooper,Poison Ground,210,55,45,45,25,25,15
1465,"


0195",Quagsire,Water Ground,430,95,85,85,65,65,35
1466,"


0196",Espeon,Psychic ,525,65,65,60,130,95,110
1467,"


0197",Umbreon,Dark ,525,95,65,110,60,130,65
1468,"


0198",Murkrow,Dark Flying,405,60,85,42,85,42,91
1469,"


0199",Slowking,Water Psychic,490,95,75,80,100,110,30
1470,"


0199",Slowking Galarian Slowking,Poison Psychic,490,95,65,80,110,110,30
1471,"


0200",Misdreavus,Ghost ,435,60,60,60,85,85,85
1472,"


0201",Unown,Psychic ,336,48,72,48,72,48,48
1473,"


0202",Wobbuffet,Psychic ,405,190,33,58,33,58,33
1474,"


0203",Girafarig,Normal Psychic,455,70,80,65,90,65,85
1475,"


0204",Pineco,Bug ,290,50,65,90,35,35,15
1476,"


0205",Forretress,Bug Steel,465,75,90,140,60,60,40
1477,"


0206",Dunsparce,Normal ,415,100,70,70,65,65,45
1478,"


0207",Gligar,Ground Flying,430,65,75,105,35,65,85
1479,"


0208",Steelix,Steel Ground,510,75,85,200,55,65,30
1480,"


0208",Steelix Mega Steelix,Steel Ground,610,75,125,230,55,95,30
1481,"


0209",Snubbull,Fairy ,300,60,80,50,40,40,30
1482,"


0210",Granbull,Fairy ,450,90,120,75,60,60,45
1483,"


0211",Qwilfish,Water Poison,440,65,95,85,55,55,85
1484,"


0211",Qwilfish Hisuian Qwilfish,Dark Poison,440,65,95,85,55,55,85
1485,"


0212",Scizor,Bug Steel,500,70,130,100,55,80,65
1486,"


0212",Scizor Mega Scizor,Bug Steel,600,70,150,140,65,100,75
1487,"


0213",Shuckle,Bug Rock,505,20,10,230,10,230,5
1488,"


0214",Heracross,Bug Fighting,500,80,125,75,40,95,85
1489,"


0214",Heracross Mega Heracross,Bug Fighting,600,80,185,115,40,105,75
1490,"


0215",Sneasel,Dark Ice,430,55,95,55,35,75,115
1491,"


0215",Sneasel Hisuian Sneasel,Fighting Poison,430,55,95,55,35,75,115
1492,"


0216",Teddiursa,Normal ,330,60,80,50,50,50,40
1493,"


0217",Ursaring,Normal ,500,90,130,75,75,75,55
1494,"


0218",Slugma,Fire ,250,40,40,40,70,40,20
1495,"


0219",Magcargo,Fire Rock,430,60,50,120,90,80,30
1496,"


0220",Swinub,Ice Ground,250,50,50,40,30,30,50
1497,"


0221",Piloswine,Ice Ground,450,100,100,80,60,60,50
1498,"


0222",Corsola,Water Rock,410,65,55,95,65,95,35
1499,"


0222",Corsola Galarian Corsola,Ghost ,410,60,55,100,65,100,30
1500,"


0223",Remoraid,Water ,300,35,65,35,65,35,65
1501,"


0224",Octillery,Water ,480,75,105,75,105,75,45
1502,"


0225",Delibird,Ice Flying,330,45,55,45,65,45,75
1503,"


0226",Mantine,Water Flying,485,85,40,70,80,140,70
1504,"


0227",Skarmory,Steel Flying,465,65,80,140,40,70,70
1505,"


0228",Houndour,Dark Fire,330,45,60,30,80,50,65
1506,"


0229",Houndoom,Dark Fire,500,75,90,50,110,80,95
1507,"


0229",Houndoom Mega Houndoom,Dark Fire,600,75,90,90,140,90,115
1508,"


0230",Kingdra,Water Dragon,540,75,95,95,95,95,85
1509,"


0231",Phanpy,Ground ,330,90,60,60,40,40,40
1510,"


0232",Donphan,Ground ,500,90,120,120,60,60,50
1511,"


0233",Porygon2,Normal ,515,85,80,90,105,95,60
1512,"


0234",Stantler,Normal ,465,73,95,62,85,65,85
1513,"


0235",Smeargle,Normal ,250,55,20,35,20,45,75
1514,"


0236",Tyrogue,Fighting ,210,35,35,35,35,35,35
1515,"


0237",Hitmontop,Fighting ,455,50,95,95,35,110,70
1516,"


0238",Smoochum,Ice Psychic,305,45,30,15,85,65,65
1517,"


0239",Elekid,Electric ,360,45,63,37,65,55,95
1518,"


0240",Magby,Fire ,365,45,75,37,70,55,83
1519,"


0241",Miltank,Normal ,490,95,80,105,40,70,100
1520,"


0242",Blissey,Normal ,540,255,10,10,75,135,55
1521,"


0243",Raikou,Electric ,580,90,85,75,115,100,115
1522,"


0244",Entei,Fire ,580,115,115,85,90,75,100
1523,"


0245",Suicune,Water ,580,100,75,115,90,115,85
1524,"


0246",Larvitar,Rock Ground,300,50,64,50,45,50,41
1525,"


0247",Pupitar,Rock Ground,410,70,84,70,65,70,51
1526,"


0248",Tyranitar,Rock Dark,600,100,134,110,95,100,61
1527,"


0248",Tyranitar Mega Tyranitar,Rock Dark,700,100,164,150,95,120,71
1528,"


0249",Lugia,Psychic Flying,680,106,90,130,90,154,110
1529,"


0250",Ho-oh,Fire Flying,680,106,130,90,110,154,90
1530,"


0251",Celebi,Psychic Grass,600,100,100,100,100,100,100
1531,"


0252",Treecko,Grass ,310,40,45,35,65,55,70
1532,"


0253",Grovyle,Grass ,405,50,65,45,85,65,95
1533,"


0254",Sceptile,Grass ,530,70,85,65,105,85,120
1534,"


0254",Sceptile Mega Sceptile,Grass Dragon,630,70,110,75,145,85,145
1535,"


0255",Torchic,Fire ,310,45,60,40,70,50,45
1536,"


0256",Combusken,Fire Fighting,405,60,85,60,85,60,55
1537,"


0257",Blaziken,Fire Fighting,530,80,120,70,110,70,80
1538,"


0257",Blaziken Mega Blaziken,Fire Fighting,630,80,160,80,130,80,100
1539,"


0258",Mudkip,Water ,310,50,70,50,50,50,40
1540,"


0259",Marshtomp,Water Ground,405,70,85,70,60,70,50
1541,"


0260",Swampert,Water Ground,535,100,110,90,85,90,60
1542,"


0260",Swampert Mega Swampert,Water Ground,635,100,150,110,95,110,70
1543,"


0261",Poochyena,Dark ,220,35,55,35,30,30,35
1544,"


0262",Mightyena,Dark ,420,70,90,70,60,60,70
1545,"


0263",Zigzagoon,Normal ,240,38,30,41,30,41,60
1546,"


0263",Zigzagoon Galarian Zigzagoon,Dark Normal,240,38,30,41,30,41,60
1547,"


0264",Linoone,Normal ,420,78,70,61,50,61,100
1548,"


0264",Linoone Galarian Linoone,Dark Normal,420,78,70,61,50,61,100
1549,"


0265",Wurmple,Bug ,195,45,45,35,20,30,20
1550,"


0266",Silcoon,Bug ,205,50,35,55,25,25,15
1551,"


0267",Beautifly,Bug Flying,395,60,70,50,100,50,65
1552,"


0268",Cascoon,Bug ,205,50,35,55,25,25,15
1553,"


0269",Dustox,Bug Poison,385,60,50,70,50,90,65
1554,"


0270",Lotad,Water Grass,220,40,30,30,40,50,30
1555,"


0271",Lombre,Water Grass,340,60,50,50,60,70,50
1556,"


0272",Ludicolo,Water Grass,480,80,70,70,90,100,70
1557,"


0273",Seedot,Grass ,220,40,40,50,30,30,30
1558,"


0274",Nuzleaf,Grass Dark,340,70,70,40,60,40,60
1559,"


0275",Shiftry,Grass Dark,480,90,100,60,90,60,80
1560,"


0276",Taillow,Normal Flying,270,40,55,30,30,30,85
1561,"


0277",Swellow,Normal Flying,455,60,85,60,75,50,125
1562,"


0278",Wingull,Water Flying,270,40,30,30,55,30,85
1563,"


0279",Pelipper,Water Flying,440,60,50,100,95,70,65
1564,"


0280",Ralts,Psychic Fairy,198,28,25,25,45,35,40
1565,"


0281",Kirlia,Psychic Fairy,278,38,35,35,65,55,50
1566,"


0282",Gardevoir,Psychic Fairy,518,68,65,65,125,115,80
1567,"


0282",Gardevoir Mega Gardevoir,Psychic Fairy,618,68,85,65,165,135,100
1568,"


0283",Surskit,Bug Water,269,40,30,32,50,52,65
1569,"


0284",Masquerain,Bug Flying,454,70,60,62,100,82,80
1570,"


0285",Shroomish,Grass ,295,60,40,60,40,60,35
1571,"


0286",Breloom,Grass Fighting,460,60,130,80,60,60,70
1572,"


0287",Slakoth,Normal ,280,60,60,60,35,35,30
1573,"


0288",Vigoroth,Normal ,440,80,80,80,55,55,90
1574,"


0289",Slaking,Normal ,670,150,160,100,95,65,100
1575,"


0290",Nincada,Bug Ground,266,31,45,90,30,30,40
1576,"


0291",Ninjask,Bug Flying,456,61,90,45,50,50,160
1577,"


0292",Shedinja,Bug Ghost,236,1,90,45,30,30,40
1578,"


0293",Whismur,Normal ,240,64,51,23,51,23,28
1579,"


0294",Loudred,Normal ,360,84,71,43,71,43,48
